Product_id,Product Name,Price,Rating,Ranking,Ratings_count,Reviews_count,Brand,SK_name
P137,Golens X10 Luxury Smart Door Lock | 8 Ways Unlocking |3D Face ID| Fingerprint | Mobile App | RFID Card | PIN | OTP | Mechanical Key |Camera Technology| Keyless Entry (X10 Mocha Gold),24999,4.6,137,3,2,Golens, X10 Luxury Smart Door Lock | 8 Ways Unlocking |3D Face ID| Fingerprint | Mobile App | RFID Card | PIN | OTP | Mechanical Key |Camera Technology| Keyless Entry (X10 Mocha Gold)
P138,"Smart Fingerprint Cabinet Lock, Mini Biometric Electronic Cabinet Lock Kits, Keyless Child Safety File Drawer Wardrobe Furniture Privacy Cabinet Lock for Home & Office",1799,3.8,138,33,7,Smart," Fingerprint Cabinet Lock, Mini Biometric Electronic Cabinet Lock Kits, Keyless Child Safety File Drawer Wardrobe Furniture Privacy Cabinet Lock for Home & Office"
P139,"Dorset Smart Door Lock with Camera | DG 204 Lock with Fingerprint, Pin, RFID, Mobile App,Key, OTP Access | 2 years Warranty | Door Thickness - 35-90 mm - Black",22499,3,139,3,3,Dorset," Smart Door Lock with Camera | DG 204 Lock with Fingerprint, Pin, RFID, Mobile App,Key, OTP Access | 2 years Warranty | Door Thickness - 35-90 mm - Black"
P140,"Denler DFLv2 Black New Smart Door Lock, Digital Door Lock, Wi-Fi Remote Unlock Using App, Fingerprint Lock, RFID Card, PIN, Manual Key Access for Wooden and Metal Min 35mm Doors",34112,0,140,0,0,Denler," DFLv2 Black New Smart Door Lock, Digital Door Lock, Wi-Fi Remote Unlock Using App, Fingerprint Lock, RFID Card, PIN, Manual Key Access for Wooden and Metal Min 35mm Doors"
P141,Golens X11 Luxury Smart Door Lock Unlocking |Camera| Fingerprint | Pincode | RFID Access Card | Bluetooth Mobile App | Mechanical Key | Digital Door Lock,19199,5,141,1,1,Golens, X11 Luxury Smart Door Lock Unlocking |Camera| Fingerprint | Pincode | RFID Access Card | Bluetooth Mobile App | Mechanical Key | Digital Door Lock
P142,Golens X74 Smart Door Lock | 6 Ways Unlocking | Fingerprint | Mobile App | RFID Card | PIN | OTP | Mechanical Key | Camera Technology | Keyless Entry Digital Lock,18999,3.5,142,7,4,Golens, X74 Smart Door Lock | 6 Ways Unlocking | Fingerprint | Mobile App | RFID Card | PIN | OTP | Mechanical Key | Camera Technology | Keyless Entry Digital Lock
P143,Golens X59 Smart Door Lock with | Fingerprint | Mobile App | RFID Card | Pin | Otp | Mechanical Key | Automatic Lock Keyless Entry Digital Lock (2 Year Warranty),12499,4.2,143,71,60,Golens, X59 Smart Door Lock with | Fingerprint | Mobile App | RFID Card | Pin | Otp | Mechanical Key | Automatic Lock Keyless Entry Digital Lock (2 Year Warranty)
P144,"Yale YDME 50 NxT, Smart Door Lock with Biometric, Pincode, RFID Card & Mechanical Keys, Color- Black, for Home & Office (Free Installation)…",10999,4.1,144,334,82,Yale," YDME 50 NxT, Smart Door Lock with Biometric, Pincode, RFID Card & Mechanical Keys, Color- Black, for Home & Office (Free Installation)…"
P145,BytBots Infinty Pro Smart Door Lock | 6-Way Unlocking | Fingerprint | Pincode | RFID Access Card | Mobile App | Mechanical Key | OTP Access | 5 Bolt Strong Mortis | Child Lock | Free Installtion,9499,5,145,1,1,BytBots, Infinty Pro Smart Door Lock | 6-Way Unlocking | Fingerprint | Pincode | RFID Access Card | Mobile App | Mechanical Key | OTP Access | 5 Bolt Strong Mortis | Child Lock | Free Installtion
P146,Golens X17 Luxury Smart Door Lock | 8 Ways Unlocking |3D Face ID| Fingerprint | Mobile App | RFID Card | PIN | OTP | Mechanical Key |Camera Technology| Keyless Entry Digital Lock (2 Year Warranty),25999,4.1,146,13,8,Golens, X17 Luxury Smart Door Lock | 8 Ways Unlocking |3D Face ID| Fingerprint | Mobile App | RFID Card | PIN | OTP | Mechanical Key |Camera Technology| Keyless Entry Digital Lock (2 Year Warranty)
